,eid,title,publicationName,coverDate,refcount,citedby_count,doi
0,2-s2.0-85067043925,Regional energy planning based on distribution grid hosting capacity,AIMS Energy,2019-01-01,39,3,10.3934/energy.2019.3.264
0,2-s2.0-85111573159,A nomographic tool to assess solar PV hosting capacity constrained by voltage rise in low-voltage distribution networks,International Journal of Electrical Power and Energy Systems,2022-01-01,26,3,10.1016/j.ijepes.2021.107409
0,2-s2.0-85123936931,DER Hosting Capacity Envelope in Unbalanced Distribution Systems,"Proceedings of 2021 IEEE PES Innovative Smart Grid Technologies Europe: Smart Grids: Toward a Carbon-Free Future, ISGT Europe 2021",2021-01-01,15,3,10.1109/ISGTEurope52324.2021.9640143
0,2-s2.0-85099147564,Charging station planning to maximize extra load hosting capacity in unbalanced distribution system,IEEE Power and Energy Society General Meeting,2020-08-02,14,3,10.1109/PESGM41954.2020.9281769
0,2-s2.0-85075882165,Evaluation of Maximum Solar PV Penetration: Deterministic Approach for over Voltage Curtailments,"Proceedings of 2019 IEEE PES Innovative Smart Grid Technologies Europe, ISGT-Europe 2019",2019-09-01,12,3,10.1109/ISGTEurope.2019.8905777
0,2-s2.0-85081599290,PV Curtailment Analysis to Improve Utilization of Hosting Capacity in California,Conference Record of the IEEE Photovoltaic Specialists Conference,2019-06-01,6,3,10.1109/PVSC40753.2019.8981318
0,2-s2.0-84952010546,Gap analysis of future energy grids,"International Conference on the European Energy Market, EEM",2015-08-20,9,3,10.1109/EEM.2015.7216715
0,2-s2.0-85097333958,Increasing distributed generation hosting capacity in distribution networks: A CO2emission analysis,IEEE PES Innovative Smart Grid Technologies Conference Europe,2020-10-26,16,3,10.1109/ISGT-Europe47291.2020.9248813
0,2-s2.0-85075796177,Bi-level optimisation dispatch method for photovoltaic hosting capacity enhancement of distribution buses,"IET Generation, Transmission and Distribution",2019-12-03,41,3,10.1049/iet-gtd.2019.0562
0,2-s2.0-85117764996,A stochastic analytic-probabilistic approach to distributed generation hosting capacity evaluation of active feeders,International Journal of Electrical Power and Energy Systems,2022-03-01,38,3,10.1016/j.ijepes.2021.107598
0,2-s2.0-85040594605,Automating distributed solar impact analysis,"2017 North American Power Symposium, NAPS 2017",2017-11-13,29,3,10.1109/NAPS.2017.8107211
0,2-s2.0-85112353391,Model-Free Voltage Calculations for PV-Rich LV Networks: Smart Meter Data and Deep Neural Networks,"2021 IEEE Madrid PowerTech, PowerTech 2021 - Conference Proceedings",2021-06-28,16,3,10.1109/PowerTech46648.2021.9494847
0,2-s2.0-84961589779,PV market in Japan and impacts of grid constriction,"2015 IEEE 42nd Photovoltaic Specialist Conference, PVSC 2015",2015-12-14,5,3,10.1109/PVSC.2015.7356204
0,2-s2.0-85090905513,Characterizing the effect of conservation voltage reduction on the hosting capacity of inverter-based distributed energy resources,Electronics (Switzerland),2020-09-01,17,3,10.3390/electronics9091517
0,2-s2.0-85079483903,A PV Hosting Capacity Assessment Method with Spatial Correlation,"iSPEC 2019 - 2019 IEEE Sustainable Power and Energy Conference: Grid Modernization for Energy Revolution, Proceedings",2019-11-01,5,3,10.1109/iSPEC48194.2019.8974940
0,2-s2.0-85060448495,Study on Photovoltaic Hosting in Yogyakarta Electric Distribution Network,"Proceedings - 2018 5th International Conference on Information Technology, Computer and Electrical Engineering, ICITACEE 2018",2018-12-13,13,3,10.1109/ICITACEE.2018.8576961
0,2-s2.0-85017528955,Probabilistic evaluation of the hosting capacity in distribution networks,IEEE PES Innovative Smart Grid Technologies Conference Europe,2017-02-14,27,3,10.1109/ISGTEurope.2016.7856213
0,2-s2.0-85106652410,Value of local offshore renewable resource diversity for network hosting capacity,Energies,2020-11-02,43,3,10.3390/en13225913
0,2-s2.0-85099159221,Unleashing the flexibility of renewable-dominated distribution grids via soft open point planning,IEEE Power and Energy Society General Meeting,2020-08-02,18,3,10.1109/PESGM41954.2020.9282028
0,2-s2.0-84951325819,PV penetration scenario generator based on maximum hosting capacity and statistic data,"2015 IEEE Eindhoven PowerTech, PowerTech 2015",2015-08-31,15,3,10.1109/PTC.2015.7232694
0,2-s2.0-85111664575,Potential Assessment of Spatial Correlation to Improve Maximum Distributed PV Hosting Capacity of Distribution Networks,Journal of Modern Power Systems and Clean Energy,2021-07-01,40,3,10.35833/MPCE.2020.000886
0,2-s2.0-85049122668,Planning studies for active distribution grids in presence of EVs charging stations: Simulation on a real test network,CIGRE Session 46,2016-01-01,12,3,
0,2-s2.0-85114806111,Determining maximum hosting capacity for PV systems in distribution grids,International Journal of Electrical Power and Energy Systems,2022-02-01,45,3,10.1016/j.ijepes.2021.107342
